"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1841756973936546283","Thu Oct 03 08:27:35 +0000 2024","1"," BREAKING: Sir Jim Ratcliffe is planning to travel to Birmingham to watch Manchester United face Aston Villa on Sunday. #MUFC [@lauriewhitwell] https://t.co/zpXAEFs6qu","1841756973936546283","https://pbs.twimg.com/media/GY88M-sWAAA98W6.jpg","","en","","0","0","0","https://x.com/undefined/status/1841756973936546283","456609891",
"1841754388999651573","Thu Oct 03 08:17:19 +0000 2024","4","Manchester United fans stop talking too much conduct your niggas +7846543643(Eric Ten H) +7843466636(Sir Jim) +7849764224(Ben Makhathi) https://t.co/SjSDIRtCCA","1841754388999651573","https://pbs.twimg.com/media/GY852zKWEAAlPrg.jpg","","en","","1","0","0","https://x.com/undefined/status/1841754388999651573","1699056861704794112",
"1841739871259390319","Thu Oct 03 07:19:37 +0000 2024","231","State of play at #MUFC: Ratcliffe plans to attend Villa Park Ten Hag daily talks with execs Ashworth Wilcox watch U21s Van Nistelrooy good aura Amass to stay with youth teams More ⬇️ https://t.co/ehjwLtpTTp","1841739871259390319","","","en","","15","24","40","https://x.com/undefined/status/1841739871259390319","85340592",
"1841735184464675041","Thu Oct 03 07:01:00 +0000 2024","246","▪️ Ten Hag's early start after awful Tottenham loss ▪️ Sir Jim Ratcliffe planning to attend Aston Villa game ▪️ Reality of Van Nistelrooy's role ▪️ Concern over player mentality @LaurieWhitwell on the aftermath of Manchester United's weekend humbling","1841735184464675041","","","en","","3","7","32","https://x.com/undefined/status/1841735184464675041","970939705629069312",
"1841593922763497633","Wed Oct 02 22:41:26 +0000 2024","1","@RiddyMuppetiers Yeah but don't worry. Jim RATcliffe is going to put the Manchester back in Manchester United ...","1841609466036342793","","RiddyMuppetiers","en","","0","1","0","https://x.com/undefined/status/1841609466036342793","1381765752089366528",
"1841594424154873979","Wed Oct 02 21:41:40 +0000 2024","0","Jim Ratcliffe showing: A. That very rich people are almost always awful human beings with no empathy B. He's got no idea how to make Manchester United successful C. He's actually worse than the Glazers because he thinks he knows what he's doing https://t.co/kuGp8pWf8w","1841594424154873979","","","en","","0","0","1","https://x.com/undefined/status/1841594424154873979","2743684155",
"1841219475976159564","Wed Oct 02 20:01:02 +0000 2024","0","@DeadlineDayLive Sir Jim Ratcliffe has recommended Erik Ten Hag the Great as his preferred choice to remain at Manchester United. (Source: Ask Skysports)","1841569097827414223","","DeadlineDayLive","en","","0","0","0","https://x.com/undefined/status/1841569097827414223","82856372",
"1841565002886533358","Wed Oct 02 19:44:45 +0000 2024","16","Some of us who genuinely understand where Manchester United has been over the last 10-12 years and who heard Sir Jim Ratcliffe said that to rebuild the squad it would take 3-5 transfer windows. I have removed myself from some of the flip/flop YouTube channels and X media","1841565002886533358","","","en","","0","0","2","https://x.com/undefined/status/1841565002886533358","2505202229",
"1841519805028835399","Wed Oct 02 16:45:09 +0000 2024","6","Exclusive: Manchester United co-owner Sir Jim Ratcliffe is under increasing pressure to make a decision over Erik ten Hag's future. Written by @Danny_Rust10 &amp; @DeanJonesSoccer https://t.co/D7fzws9hPR","1841519805028835399","","","en","","0","0","0","https://x.com/undefined/status/1841519805028835399","85874285",
"1841516829375598830","Wed Oct 02 16:33:20 +0000 2024","12","Erik ten Hag wins trophies has a track record of developing young players and now has a footballing structure to work in... if Sir Jim Ratcliffe was telling the truth about trusting the process now it's time to prove it https://t.co/s6ECFWaUbo","1841516829375598830","","","en","","1","5","2","https://x.com/undefined/status/1841516829375598830","111556576",
"1841503825137418316","Wed Oct 02 15:41:40 +0000 2024","0","Erik ten Hag is under serious pressure and Sir Jim Ratcliffe is keen to appoint a British manager 🇬🇧 https://t.co/UYIJEdkuMS","1841503825137418316","","","en","","0","0","0","https://x.com/undefined/status/1841503825137418316","23075315",
"1841501103981994471","Wed Oct 02 15:30:51 +0000 2024","10","About to (finally) board this flight to Porto. So here s my case for sticking with Erik ten Hag even after a disappointing start @mailsport #mufc https://t.co/8mX1PCYXk3","1841501103981994471","","","en","","0","2","2","https://x.com/undefined/status/1841501103981994471","283720126",
"1841482633726878008","Wed Oct 02 14:17:27 +0000 2024","0"," Manchester United owner Sir Jim Ratcliffe may reportedly be looking for a new manager if Erik ten Hag departs. British managers Southgate and Howe are among the four targets identified. Will Ratcliffe pull the plug? Stay tuned! #ManchesterUnited #ErikTenHag #GarethSouthgate https://t.co/JUl3uPk2CL","1841482633726878008","https://pbs.twimg.com/media/GY5CseMWoAAC18C.jpg","","en","","0","0","0","https://x.com/undefined/status/1841482633726878008","1806359451513012224",
"1841478975207419944","Wed Oct 02 14:02:55 +0000 2024","0","Manchester United owner Sir Jim Ratcliffe is reportedly considering Gareth Southgate Eddie Howe Graham Potter and Simone Inzaghi as potential replacements for manager Erik ten Hag. The club's recent managerial turnover raises questions about the effec https://t.co/bnAFZVm1cC","1841478975207419944","","","en","","0","0","0","https://x.com/undefined/status/1841478975207419944","1356295934968213505",
"1841460173501780014","Wed Oct 02 12:48:12 +0000 2024","0","Erik ten Hag gives 14-word answer on Sir Jim Ratcliffe talks after Tottenham bashing: Erik ten Hag is under increasing pressure as Manchester United boss after a poor start to the season as he's opened up on #ManchesterUnited #EriktenHag #SirJimRatcliffe https://t.co/XJNFcQ48cC https://t.co/LIqH75QI9W","1841460173501780014","https://pbs.twimg.com/media/GY4uRQmboAEGfhi.jpg","","en","","0","0","0","https://x.com/undefined/status/1841460173501780014","634713516",
"1841446019818508758","Wed Oct 02 11:51:58 +0000 2024","0","Manchester United manager Erik ten Hag remains under scrutiny after a poor start to the season. Following a defeat to Spurs discussions with Sir Jim Ratcliffe focused on improving the team's performance and the importance of securing positive results in https://t.co/bnAFZVm1cC","1841446019818508758","","","en","","0","0","0","https://x.com/undefined/status/1841446019818508758","1356295934968213505",
"1841436757855805871","Wed Oct 02 11:15:09 +0000 2024","5","Manchester United co-owner Sir Jim Ratcliffe believes Harry Maguire can play a key role in ensuring the squad does not fall apart. Written by @Danny_Rust10 &amp; @JacobsBen https://t.co/ZiAVqOVhxF","1841436757855805871","","","en","","0","1","0","https://x.com/undefined/status/1841436757855805871","85874285",
"1841429504213823540","Wed Oct 02 10:46:20 +0000 2024","1","Another tactical-less manager. Manchester United doesn't know what they want . If it's Sir Jim pulling all this strings then he knows nothing about football.","1841429504213823540","","","en","","0","0","0","https://x.com/undefined/status/1841429504213823540","1092394531285360640",
"1841412247517610234","Wed Oct 02 09:37:46 +0000 2024","28","Erik ten Hag lifts lid on Sir Jim Ratcliffe chats after Man United's Tottenham horror show https://t.co/mGnGfEnAQ7","1841412247517610234","","","en","","0","6","0","https://x.com/undefined/status/1841412247517610234","57299064",
"1841143039017775512","Tue Oct 01 15:48:01 +0000 2024","0","Sir Jim Ratcliffe gives hint on Manchester Utd managerial possession: Ruud van Nistelrooy could be the next Manchester United manager https://t.co/roB1EyFhy5","1841143039017775512","","","en","","0","0","0","https://x.com/undefined/status/1841143039017775512","1264066288424562688",
"1841134685130252298","Tue Oct 01 15:14:50 +0000 2024","0","Ruud van Nistelrooy is reportedly open to replacing Erik ten Hag as Manchester United s manager if Sir Jim Ratcliffe fires him.[Utd district] #mufc #GGMU #ManchesterUnited #ruud #nistelrooy #erik #tenhag https://t.co/8uO3oGGtuP","1841134685130252298","https://pbs.twimg.com/media/GY0GPIEWQAEP7q3.jpg","","en","","0","0","0","https://x.com/undefined/status/1841134685130252298","1246428365546020864",
"1841109666354401400","Tue Oct 01 14:28:41 +0000 2024","0","@Utdtruthful @MelissaReddy_ Sir Jim has good intentions with Manchester United but here he made a big mistake","1841123072201413053","","Utdtruthful","en","","0","0","0","https://x.com/undefined/status/1841123072201413053","1689553518938501120",
"1841121730493894990","Tue Oct 01 14:23:21 +0000 2024","3","Manchester United recruitment staff are on tenterhooks amid greater scrutiny of the club's hit rate in the transfer market. Well-placed sources say the arrival of Sir Jim Ratcliffe as co-chairman in February has created a stricter recruitment operation at the club. [MEN]#MUFC https://t.co/iP9rmPRxBk","1841121730493894990","https://pbs.twimg.com/media/GYz6cG5WkAQQgtm.jpg","","en","","0","0","1","https://x.com/undefined/status/1841121730493894990","1805882622481989632",
"1841102276787663007","Tue Oct 01 13:06:03 +0000 2024","0"," Manchester United recruitment staff are on tenterhooks amid greater scrutiny of the club s hit rate in the transfer market. Well-placed sources say the arrival of Sir Jim Ratcliffe has created a stricter recruitment operation at the club. #MUFC [@samuelluc","1841102276787663007","","","en","","0","0","0","https://x.com/undefined/status/1841102276787663007","1663416216759726080",
"1841100794789007634","Tue Oct 01 13:00:10 +0000 2024","0","️| Manchester United s recruitment staff are feeling pressure due to increased scrutiny of their transfer success rate. Sources suggest that Jim Ratcliffe's appointment as co-chairman in February has led to a more stringent recruitment process at the club. #MUFC [MEN]","1841100794789007634","","","en","","0","0","0","https://x.com/undefined/status/1841100794789007634","1746293674042920960",
"1841099370676027605","Tue Oct 01 12:54:30 +0000 2024","0","Sir Jim Ratcliffe: The Coach is not the central issue of Manchester United. They have an environment which is not particularly productive for the sporting world. They have made lots of poor decisions over the 10 years on Coaches and Footballers. https://t.co/ShOHApSoDP","1841099370676027605","https://pbs.twimg.com/ext_tw_video_thumb/1841099250265980928/pu/img/IX2yFVqainsFvMf1.jpg","","en","","1","0","1","https://x.com/undefined/status/1841099370676027605","1465709541996122115",
"1841097018833264971","Tue Oct 01 12:45:09 +0000 2024","3","Richard Keys says that there is a deep animosity from staff at Manchester United towards new owner Sir Jim Ratcliffe. Written by @DMFv2 https://t.co/dId8vEIFgC","1841097018833264971","","","en","","1","0","0","https://x.com/undefined/status/1841097018833264971","85874285",
"1841092609248199054","Tue Oct 01 12:27:38 +0000 2024","2"," Manchester United recruitment staff are on tenterhooks amid greater scrutiny of the club s hit rate in the transfer market. Well-placed sources say the arrival of Sir Jim Ratcliffe has created a stricter recruitment operation at the club. #MUFC #UtdCover [@samuelluckhurst]","1841092609248199054","","","en","","0","0","0","https://x.com/undefined/status/1841092609248199054","1109553746210684928",
"1841091929741693166","Tue Oct 01 12:24:56 +0000 2024","50","| Manchester United recruitment staff are on tenterhooks amid greater scrutiny of the club s hit rate in the transfer market. Well-placed sources say the arrival of Sir Jim Ratcliffe has created a stricter recruitment operation at the club. [@samuelluckhurst] #MUFC","1841091929741693166","","","en","","0","2","2","https://x.com/undefined/status/1841091929741693166","1397506790758260742",
"1841090563061207258","Tue Oct 01 12:19:30 +0000 2024","0"," Manchester United recruitment staff are on tenterhooks amid greater scrutiny of the club s hit rate in the transfer market. Well-placed sources say the arrival of Sir Jim Ratcliffe has created a stricter recruitment operation at the club. #MUFC [@samuelluckhurst]","1841090563061207258","","","en","","0","0","0","https://x.com/undefined/status/1841090563061207258","1663531402573357058",
"1841089901464269279","Tue Oct 01 12:16:52 +0000 2024","0"," Manchester United recruitment staff are on tenterhooks amid greater scrutiny of the club's hit rate in the transfer market. Well-placed sources say the arrival of Sir Jim Ratcliffe as co-chairman in February has created a stricter recruitment operation at the club. [MEN] https://t.co/62NPEtevkA","1841089901464269279","https://pbs.twimg.com/media/GYzdgfhXgAQrMvb.jpg","","en","","0","0","0","https://x.com/undefined/status/1841089901464269279","1246428365546020864",
"1841085830707712430","Tue Oct 01 12:00:42 +0000 2024","0","Ruud van Nistelrooy to replace Erik ten Hag? Sir Jim Ratcliffe's logic has come to light... ⤵️ https://t.co/hrVAUzi7n3","1841085830707712430","","","en","","0","0","0","https://x.com/undefined/status/1841085830707712430","23075315",
